구,행정동,행정동코드
강남구,개포1동,11230680
강남구,개포2동,11230800
강남구,개포3동,11230511
강남구,개포4동,11230710
강남구,논현1동,11230520
강남구,논현2동,11230530
강남구,대치1동,11230600
강남구,대치2동,11230790
강남구,대치4동,11230630
강남구,도곡1동,11230660
강남구,도곡2동,11230670
강남구,삼성1동,11230580
강남구,삼성2동,11230590
강남구,세곡동,11230760
강남구,수서동,11230750
강남구,신사동,11230510
강남구,압구정동,11230770
강남구,역삼1동,11230640
강남구,역삼2동,11230650
강남구,일원1동,11230730
강남구,일원본동,11230720
강남구,청담동,11230780
강동구,강일동,11250750
강동구,고덕1동,11250550
강동구,고덕2동,11250560
강동구,길동,11250740
강동구,둔촌1동,11250700
강동구,둔촌2동,11250710
강동구,명일1동,11250530
강동구,명일2동,11250540
강동구,상일1동,11250760
강동구,상일2동,11250770
강동구,성내1동,11250650
강동구,성내2동,11250660
강동구,성내3동,11250670
강동구,암사1동,11250720
강동구,암사2동,11250580
강동구,암사3동,11250590
강동구,천호1동,11250610
강동구,천호2동,11250730
강동구,천호3동,11250630
강북구,미아동,11090700
강북구,번1동,11090600
강북구,번2동,11090610
강북구,번3동,11090620
강북구,삼각산동,11090730
강북구,삼양동,11090690
강북구,송중동,11090710
강북구,송천동,11090720
강북구,수유1동,11090630
강북구,수유2동,11090640
강북구,수유3동,11090650
강북구,우이동,11090740
강북구,인수동,11090750
강서구,가양1동,11160751
강서구,가양2동,11160650
강서구,가양3동,11160660
강서구,공항동,11160690
강서구,등촌1동,11160520
강서구,등촌2동,11160530
강서구,등촌3동,11160540
강서구,발산1동,11160670
강서구,방화1동,11160700
강서구,방화2동,11160710
강서구,방화3동,11160761
강서구,염창동,11160510
강서구,우장산동,11160740
강서구,화곡1동,11160730
강서구,화곡2동,11160570
강서구,화곡3동,11160580
강서구,화곡4동,11160590
강서구,화곡6동,11160610
강서구,화곡8동,11160630
강서구,화곡본동,11160550
관악구,낙성대동,11210580
관악구,난곡동,11210810
관악구,난향동,11210710
